time_s,x_m,y_m,yaw_rad,cmd_linear_x_mps,cmd_angular_z_radps,wheel_fl_radps,wheel_fr_radps,wheel_rl_radps,wheel_rr_radps,left_wheel_linear_mps,right_wheel_linear_mps,odom_ok,cmd_ok
0.13437962532043457,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0.22953295707702637,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0.3303854465484619,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0.43039608001708984,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0.5298049449920654,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
0.6305129528045654,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
0.7296123504638672,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
0.829662561416626,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
0.9294631481170654,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.0301084518432617,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.129488468170166,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.229515552520752,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.3295502662658691,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.429570198059082,2.485661745071411,1.5293687582015991,2.1080147935261184,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.5295679569244385,2.4857990741729736,1.5291383266448975,2.1056821479741235,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.6295099258422852,2.485623598098755,1.5294345617294312,2.1026876789356854,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.7296059131622314,2.4846417903900146,1.5311028957366943,2.0858549827192134,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
1.830442190170288,2.4840996265411377,1.5320539474487305,2.0517485200345593,0.0,-0.22,0.6092307692307691,-0.6092307692307691,0.6092307692307691,-0.6092307692307691,0.019799999999999998,-0.019799999999999998,1,1
