x_m,y_m,time_s
3.2284967529251185,0.6048190698539625,0.10191226005554199
3.408967393163555,0.6617308275510899,0.10191917419433594
2.4606088070480645,0.35263537376229936,0.1020967960357666
2.636192448450499,0.26328604109996356,0.10210204124450684
3.227870387219271,0.6055986591463496,0.19257330894470215
2.4606300934607868,0.35363519392157805,0.1927332878112793
2.6359563248925837,0.2652720276732401,0.19273853302001953
3.235386477028956,0.5962439593574761,0.27421069145202637
2.4603108124944746,0.338638606626086,0.2743825912475586
2.635720201334669,0.2672580142465164,0.27438950538635254
3.332450334185519,0.7336345387959503,0.37924790382385254
2.4603108124944746,0.338638606626086,0.3794114589691162
2.635720201334669,0.2672580142465164,0.37941765785217285
3.332450334185519,0.7336345387959503,0.4365699291229248
2.4605875231727623,0.35163567278530206,0.44048070907592773
2.635720201334669,0.2672580142465164,0.44049072265625
2.460395953070523,0.342637648898638,0.5303018093109131
2.635484077776754,0.26924400081979294,0.5303096771240234
3.307673444633197,0.7569175862066899,0.615612268447876
2.4603108124944746,0.338638606626086,0.6157619953155518
2.6358382560765055,0.2662650801476525,0.6157679557800293
3.2159700361291392,0.6204101122621609,0.6700892448425293
3.301114794900993,0.7630808034395413,0.6700963973999023
2.4603108124944746,0.338638606626086,0.6702497005462646
2.635720201334669,0.2672580142465164,0.670255184173584
3.2159700361291392,0.6204101122621609,0.7496047019958496
3.301114794900993,0.7630808034395413,0.7496116161346436
2.460374669195221,0.3416379479216407,0.7497787475585938
2.635720201334669,0.2672580142465164,0.7497842311859131
3.3084021255777745,0.7562328387147145,0.8292148113250732
2.460523666472016,0.3486363314897474,0.8293588161468506
2.635366008960675,0.27023705329420533,0.8293638229370117
3.2191017153281343,0.6165123516601113,0.908940315246582
2.4606088070480645,0.35263537376229936,0.9091029167175293
2.635720201334669,0.2672580142465164,0.9091086387634277
2.4606088070480645,0.35263537376229936,0.9905822277069092
2.6359563248925837,0.2652720276732401,0.9905877113342285
3.2159700361291392,0.6204101122621609,1.0714495182037354
2.4605662367600405,0.35063585262602337,1.0715992450714111
2.6347756930287667,0.27520207891517057,1.0716040134429932
3.2159700361291392,0.6204101122621609,1.1474535465240479
2.4605662367600405,0.35063585262602337,1.1476037502288818
2.6347756930287667,0.27520207891517057,1.147608995437622
3.2147173793825656,0.6219691979169922,1.2386181354522705
3.306944676816785,0.7576024153328441,1.2386250495910645
