time_s,x_m,y_m,yaw_rad,target_x_m,target_y_m,target_yaw_rad,ex_m,ey_m,distance_error_m,yaw_error_rad,control_heading_rad,cmd_v_mps,cmd_omega_radps,controller,test_type
0.018882274627685547,-1.4585211277008057,-2.918207883834839,-0.6142432719419325,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,2.5,PID,rotation
0.07154989242553711,-1.4585211277008057,-2.918207883834839,-0.6142432719419325,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,0.9424777960769379,PID,rotation
0.1240530014038086,-1.4585211277008057,-2.918207883834839,-0.6142432719419325,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,0.9424777960769379,PID,rotation
0.17665910720825195,-1.4585211277008057,-2.918207883834839,-0.6142432719419325,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,0.9424777960769379,PID,rotation
0.22934198379516602,-1.4585211277008057,-2.918207883834839,-0.6142432719419325,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,0.9424777960769379,PID,rotation
0.2818107604980469,-1.4585211277008057,-2.918207883834839,-0.6142432719419325,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,0.9424777960769379,PID,rotation
0.33354783058166504,-1.4587966203689575,-2.918013572692871,-0.5995852435385508,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0003370882075873058,-4.9568542268257204e-06,0.00033712465068316876,1.5561382983915149,1.5561382983915149,0.0,0.8770194363190527,PID,rotation
0.38562512397766113,-1.4587966203689575,-2.918013572692871,-0.5995852435385508,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0003370882075873058,-4.9568542268257204e-06,0.00033712465068316876,1.5561382983915149,1.5561382983915149,0.0,0.9336829790349088,PID,rotation
0.4376225471496582,-1.4587966203689575,-2.918013572692871,-0.5995852435385508,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0003370882075873058,-4.9568542268257204e-06,0.00033712465068316876,1.5561382983915149,1.5561382983915149,0.0,0.9336829790349088,PID,rotation
0.4892880916595459,-1.4587966203689575,-2.918013572692871,-0.4914023715276976,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.00033458236770907883,-4.132395572105073e-05,0.00033712465068316876,1.4479554263806618,1.4479554263806618,0.0,0.44999175246052225,PID,rotation
0.5410256385803223,-1.4593080282211304,-2.9177398681640625,-0.43088029946317774,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0009104530554572273,-9.657292989314687e-05,0.000915560537037037,1.387433354316142,1.387433354316142,0.0,0.5985019853287681,PID,rotation
0.5930984020233154,-1.4593080282211304,-2.9177398681640625,-0.43088029946317774,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0009104530554572273,-9.657292989314687e-05,0.000915560537037037,1.387433354316142,1.387433354316142,0.0,0.8324600125896852,PID,rotation
0.6447796821594238,-1.4593080282211304,-2.9177398681640625,-0.38044616730954056,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0009044268785403452,-0.0001423485804401128,0.000915560537037037,1.3369992221625047,1.3369992221625047,0.0,0.6070258378286083,PID,rotation
0.6968581676483154,-1.4593080282211304,-2.9177398681640625,-0.38044616730954056,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0009044268785403452,-0.0001423485804401128,0.000915560537037037,1.3369992221625047,1.3369992221625047,0.0,0.8021995332975028,PID,rotation
0.7485494613647461,-1.4590320587158203,-2.9178502559661865,-0.326164960459503,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0005985822172221773,-0.00017506434178923795,0.0006236571129560834,1.282718015312467,1.282718015312467,0.0,0.5596101153823891,PID,rotation
0.8004622459411621,-1.4587539434432983,-2.9179444313049316,-0.2725455508210885,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0002951394120052188,-0.00019105793086953424,0.0003515827149717887,1.2290986056740525,1.2290986056740525,0.0,0.5308841931888137,PID,rotation
0.8526341915130615,-1.4587539434432983,-2.9179444313049316,-0.2725455508210885,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0002951394120052188,-0.00019105793086953424,0.0003515827149717887,1.2290986056740525,1.2290986056740525,0.0,0.7374591634044315,PID,rotation
0.9043121337890625,-1.4587539434432983,-2.9179444313049316,-0.21984170237780687,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.00028466477593211854,-0.0002063404245669054,0.0003515827149717887,1.176394757230771,1.176394757230771,0.0,0.5018664711455658,PID,rotation
0.955965518951416,-1.4587539434432983,-2.9179444313049316,-0.16436264823622018,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0002727850997806606,-0.00022180778797100217,0.0003515827149717887,1.1209157030891843,1.1209157030891843,0.0,0.45773657283225666,PID,rotation
1.008047342300415,-1.4587539434432983,-2.9179444313049316,-0.16436264823622018,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0002727850997806606,-0.00022180778797100217,0.0003515827149717887,1.1209157030891843,1.1209157030891843,0.0,0.6725494218535105,PID,rotation
1.0596771240234375,-1.4600414037704468,-2.9177308082580566,-0.10195039320877594,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0015609359551078666,-0.000319874003221609,0.0015933739152771157,1.05850344806174,1.05850344806174,0.0,0.393333643929627,PID,rotation
1.1116409301757812,-1.4600414037704468,-2.9177308082580566,-0.10195039320877594,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0015609359551078666,-0.000319874003221609,0.0015933739152771157,1.05850344806174,1.05850344806174,0.0,0.6351020688370439,PID,rotation
1.163665771484375,-1.4600414037704468,-2.9177308082580566,-0.10195039320877594,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0015609359551078666,-0.000319874003221609,0.0015933739152771157,1.05850344806174,1.05850344806174,0.0,0.6351020688370439,PID,rotation
1.215334415435791,-1.4600414037704468,-2.9177308082580566,-0.01967881536576141,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0015293693875557844,-0.00044706790344730676,0.0015933739152771157,0.9762318702187255,0.9762318702187255,0.0,0.26728068563588486,PID,rotation
1.2671163082122803,-1.4590954780578613,-2.9177494049072266,0.026942507822931575,-1.4585211277008057,-2.918207883834839,0.956553054852964,0.0005617908318733337,-0.00047378509995309626,0.0007349022109876237,0.9296105470300324,0.9296105470300324,0.0,0.37769827473867373,PID,rotation
